web_url,topic,contact_email,has_email,contact_method
https://lifestylemag.pt/,Lifestyle,,no,form
https://travelmagg.sapo.pt/,Travel,,no,form
https://www.mittechreview.pt/,Tech,,no,unknown
https://versa.iol.pt/,Lifestyle,,no,unknown
https://www.publico.pt/temas/negocios,Business,,no,unknown
https://www.publico.pt/temas/tecnologia,Tech,,no,unknown
https://www.publico.pt/temas/viagens,Travel,,no,unknown
https://www.publico.pt/temas/financas,Finance,,no,unknown
https://www.publico.pt/temas/receitas,Cooking,,no,unknown
https://www.publico.pt/temas/desporto,Sports,,no,unknown
https://observador.pt/tema/economia/,Business,,no,unknown
https://observador.pt/tema/tecnologia/,Tech,,no,unknown
https://observador.pt/tema/lifestyle/,Lifestyle,,no,unknown
https://observador.pt/tema/viagens/,Travel,,no,unknown
https://observador.pt/tema/financas-pessoais/,Finance,,no,unknown
https://observador.pt/tema/receitas/,Cooking,,no,unknown
https://observador.pt/tema/desporto/,Sports,,no,unknown
https://www.jn.pt/economia/,Business,,no,unknown
https://www.jn.pt/tecnologia/,Tech,,no,unknown
https://www.jn.pt/lazer/,Lifestyle,,no,unknown
https://www.jn.pt/viagens/,Travel,,no,unknown
https://www.jn.pt/pessoas/financas-pessoais/,Finance,,no,unknown
https://www.jn.pt/vida/receitas/,Cooking,,no,unknown
https://www.jn.pt/desporto/,Sports,,no,unknown
https://www.dn.pt/economia/,Business,,no,unknown
https://www.dn.pt/tecnologia/,Tech,,no,unknown
https://www.dn.pt/cultura/lifestyle/,Lifestyle,,no,unknown
https://www.dn.pt/vida/viagens/,Travel,,no,unknown
https://www.dn.pt/dinheiro/,Finance,,no,unknown
https://www.dn.pt/vida/receitas/,Cooking,,no,unknown
https://www.dn.pt/desporto/,Sports,,no,unknown
https://executivo.pt/,Business,,no,form
https://marketeer.sapo.pt/,Business,,no,form
https://tek.sapo.pt/,Tech,,no,form
https://www.nit.pt/fora-de-casa/viagens,Travel,,no,unknown
https://www.nit.pt/comida/,Cooking,,no,unknown
https://www.nit.pt/lifestyle/,Lifestyle,,no,unknown
https://www.nit.pt/fora-de-casa/,Lifestyle,,no,unknown
https://www.idealista.pt/news/financas/financas-pessoais,Finance,,no,unknown
https://www.idealista.pt/news/financas/economia,Finance,,no,unknown
https://www.idealista.pt/news/ferias/viagens,Travel,,no,unknown
https://www.idealista.pt/news/financas/investimentos,Finance,,no,unknown
https://www.idealista.pt/news/financas/tecnologia,Tech,,no,unknown
https://www.idealista.pt/news/financas/negocios,Business,,no,unknown
https://www.noticiasaominuto.com/economia,Finance,,no,unknown
https://www.noticiasaominuto.com/tech,Tech,,no,unknown
https://www.noticiasaominuto.com/lifestyle,Lifestyle,,no,unknown
https://www.noticiasaominuto.com/viagens,Travel,,no,unknown
https://www.noticiasaominuto.com/desporto,Sports,,no,unknown
https://www.thegastroportugal.com/,Cooking,,no,form
https://www.portaldaqueixa.com/news/economia,Business,,no,unknown
https://www.portaldaqueixa.com/news/tecnologia,Tech,,no,unknown
